iso_code,country_name,year,UN_subregion,UN_region,SDG_region,UNICEF_region,WHO_region,WB_income_group,WB_region,survey_sample_size,severe_wasting,wasting,overweight,stunting,underweight,notes,report_author,source,under5,moderate_wasting,stunting_children,wasting_children,severe_wasting_children,moderate_wasting_children,overweight_children,underweight_children,severe_wasting_needs_kg,moderate_wasting_needs_kg,wasting_needs_kg,stunting_needs_kg
COL,COLOMBIA,1986,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,1317.0,0.3,1.0,4.2,26.6,8.9,Age-adjusted;,Ministerio de Salud.,"Tercera encuesta nacional de prevalencia del uso de anticonceptivos y primera de demografia y salud, 1986. Demographic and Health Surveys. Institute for Resource Development. Bogota, Colombia, 1988 (and additional analysis).",4301990,0.7,1144329,43019,12905,30113,180683,382877,174604,188206,362810,4119584
COL,COLOMBIA,1989,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,1973.0,0.0,3.8,0.0,21.8,8.8,Converted estimates,"Mora JO, de Paredes B, de Navarro L, Rodriguez E.",Consistent improvement in the nutritional status of Colombian children between 1965 and 1989. Bulletin of PAHO 1992;26:1-13 (and additional analysis).,4334596,0.0,944941,164714,0,0,0,381444,0,0,0,3401787
COL,COLOMBIA,1995,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,4458.0,0.5,1.7,4.5,19.7,6.3,0,"PROFAMILIA, Macro International Inc.","Encuesta nacional de demografia y salud 1995. Demographic and Health Surveys. Bogota, Colombia, 1995 (and additional analysis).",4351073,1.2,857161,73968,21755,52212,195798,274117,294345,326325,620670,3085779
COL,COLOMBIA,2000,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,4119.0,0.4,1.1,5.3,18.1,4.9,0,"Ojeda G, Ordoñez M, Ochoa LH.","Salud sexual y reproductiva en Colombia, encuesta nacional de demografia y salud 2000. Demographic and Health Surveys. Bogota, Colombia: PROFAMILIA, 2000 (and additional analysis).",4151616,0.7000000000000001,751442,45667,16606,29061,220035,203429,224679,181631,406310,2705191
COL,COLOMBIA,2005,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,12862.0,0.4,1.5,4.2,16.2,5.1,0,"Ojeda G, Ordoñez M, Hernando Ochoa L.","Resultados encuesta nacional de demografia y salud 2005. Demographic and  Health Surveys. Bogota, Colombia: Profamilia y Macro International Inc., 2005 (and additional analysis).",4112844,1.1,666280,61692,16451,45241,172739,209755,222582,282756,505338,2398608
COL,COLOMBIA,2010,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,15821.0,0.2,0.9,4.8,12.7,3.4,0,"Ojeda G, Ordoñez M, Hernando Ochoa L.","Encuesta nacional de demografia y salud 2010. Demographic and  Health Surveys. Bogota, Colombia: Profamilia, 2011 (and additional analysis).",3929005,0.7,498983,35361,7858,27503,188592,133586,106318,171893,278211,1796338
COM,COMOROS (THE),1992,Eastern Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,AFRO,Low Income,Sub-Saharan Africa,1954.0,0.0,5.3,0.0,38.5,15.2,Age-adjusted; converted estimates,Ministère de la Santé Publique et de la Population.,"Rapport sur l'état nutritionnel et les facteurs impliqués chez les enfants de moins de deux ans en République Fédérale Islamique des Comores 1991. Direction de la Santé Familiale. Comores, 1995 (and additional analysis).",77982,0.0,30023,4133,0,0,0,11853,0,0,0,108082
COM,COMOROS (THE),1996,Eastern Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,AFRO,Low Income,Sub-Saharan Africa,1005.0,4.5,10.7,5.3,40.0,21.1,Age-adjusted;,"Mondoha KA, Schoemaker J, Barrère M.","Enquête demographique et de santé, Comores 1996. Demographic and Health Surveys. Centre National de Documentation et de Recherche Scientifique. Moroni, Comores, 1997 (and additional analysis).",83016,6.199999999999999,33206,8882,3735,5146,4399,17516,50534,32162,82696,119541
COM,COMOROS (THE),2000,Eastern Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,AFRO,Low Income,Sub-Saharan Africa,4316.0,7.2,13.3,21.5,46.9,25.0,0,République Federale Islamique des Comores.,"Enquête a indicateurs multiples (MICS 2000): Rapport final (1er draft Février 2001). Moroni, Comoros: UNICEF, 2001 (and additional analysis).",88752,6.1000000000000005,41624,11804,6390,5413,19081,22188,86456,33831,120287,149846
COM,COMOROS (THE),2012,Eastern Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,AFRO,Low Income,Sub-Saharan Africa,3119.0,4.4,11.1,10.9,32.1,16.9,0,Direction Générale de la Statistique et de la Prospective (DGSP) et ICF International.,"Enquête démographique et de santé et à indicateurs multiples aux Comores 2012. Demograohic and Health Surveys and MICS. Rockville, MD 20850, USA : DGSP et ICF International, 2014 (and additional analysis).",111399,6.699999999999999,35759,12365,4901,7463,12142,18826,66310,46643,112953,128732
COG,CONGO (THE),1987,Middle Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,2429.0,0.0,6.6,1.6,30.1,16.4,Adjusted NR to NA; Converted estimates,"Cornu A, Delpeuch F, Simondon F, Tchibindat F, Faucon LD, Massamba JP et al.","Enquête nationale sur l'état nutritionnel des enfants d'age prescolaire au Congo. Collection Etudes et Theses. Paris: ORSTOM, Institut Français de Recherche Scientifique pour le Développement en Coopération, 1990 (and additional analysis).",379792,0.0,114317,25066,0,0,6076,62285,0,0,0,411541
COG,CONGO (THE),2005,Middle Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,4736.0,3.0,8.0,8.5,31.2,11.8,0,Centre National de la Statistique et des Études Économiques (CNSEE) et ORC Macro.,"Enquête démographique et de santé du Congo 2005. Demographic and Health Surveys. Calverton, Maryland, USA : CNSEE et ORC Macro, 2006 (and additional analysis).",615452,5.0,192021,49236,18463,30772,52313,72623,249804,192325,442129,691275
COG,CONGO (THE),2011,Middle Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,4647.0,1.6,5.9,3.6,25.0,11.8,0,Centre Nationale de la Statistique et des Études Économiques (CNSEE) [Congo] et ICF International.,"Enquête démographique et de santé du Congo (EDSC-II) 2011-2012. Demographic and Health Surveys. Calverton, Maryland, USA : CNSEE et ICF International, 2013 (and additional analysis).",754670,4.300000000000001,188667,44525,12074,32450,27168,89051,163361,202812,366173,679201
COG,CONGO (THE),2015,Middle Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,0,2.6,8.2,5.9,21.2,12.3,(pending reanalysis),Institut National de la Statistique (INS) et UNICEF.,"Enquête par grappes à indicateurs multiples, MICS5 CONGO 2014-2015, Rapport de résultats clés. Brazzaville, Congo, INS et UNICEF, 2015.",813950,5.6,172557,66743,21162,45581,48023,100115,286321,284881,571202,621205
CRI,COSTA RICA,1989,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,197000.0,0.0,0.0,0.0,0.0,2.4,NSS; converted estimate,Ministerio de Salud.,"Analisis del estado nutricional de la poblacion Costarricense 1992. Departamento de Nutricion y Atencion Integral, Seccion Vigilancia Nutricional. San Jose, Costa Rica, 1994 (and additional analysis).",395318,0.0,0,0,0,0,0,9487,0,0,0,0
CRI,COSTA RICA,1990,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,190000.0,0.0,0.0,0.0,0.0,2.5,NSS; converted estimate,Ministerio de Salud.,"Analisis del estado nutricional de la poblacion Costarricense 1992. Departamento de Nutricion y Atencion Integral, Seccion Vigilancia Nutricional. San Jose, Costa Rica, 1994 (and additional analysis).",400130,0.0,0,0,0,0,0,10003,0,0,0,0
CRI,COSTA RICA,1991,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,191000.0,0.0,0.0,0.0,0.0,2.2,NSS; converted estimate,Ministerio de Salud.,"Analisis del estado nutricional de la poblacion Costarricense 1992. Departamento de Nutricion y Atencion Integral, Seccion Vigilancia Nutricional. San Jose, Costa Rica, 1994 (and additional analysis).",402564,0.0,0,0,0,0,0,8856,0,0,0,0
CRI,COSTA RICA,1992,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,176935.0,0.0,0.0,0.0,0.0,2.0,NSS; converted estimate,Ministerio de Salud.,"Analisis del estado nutricional de la poblacion Costarricense 1992. Departamento de Nutricion y Atencion Integral, Seccion Vigilancia Nutricional. San Jose, Costa Rica, 1994 (and additional analysis).",404279,0.0,0,0,0,0,0,8085,0,0,0,0
CRI,COSTA RICA,1993,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,174000.0,0.0,0.0,0.0,0.0,2.0,NSS; converted estimate,Ministerio de Salud.,"Estado nutricional de preescolares atendidos por el programa de atencion primaria. Departamento de Nutriticion, Seccion de Vigilancia Nutricional. San José, Costa Rica, 1996 (and additional analysis).",405242,0.0,0,0,0,0,0,8104,0,0,0,0
CRI,COSTA RICA,1994,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,161000.0,0.0,0.0,0.0,0.0,1.9,NSS; converted estimate,Ministerio de Salud.,"Estado nutricional de preescolares atendidos por el programa de atencion primaria. Departamento de Nutriticion, Seccion de Vigilancia Nutricional. San José, Costa Rica, 1996 (and additional analysis).",405646,0.0,0,0,0,0,0,7707,0,0,0,0
CRI,COSTA RICA,1996,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,1008.0,0.0,2.4,9.5,8.2,3.8,Age-adjusted; converted estimates,Ministerio de Salud.,"Encuesta nacional de nutricion: 1 fasciculo antropometria. San Jose, Costa Rica, 1996 (and additional analysis).",404294,0.0,33152,9703,0,0,38407,15363,0,0,0,119347
CRI,COSTA RICA,2008,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,351.0,0.0,1.0,8.1,5.6,1.1,0,Ministerio de Salud.,"Encuesta nacional de nutricion 2008-2009. San Jose, Costa Rica, 2011.",356955,0.0,19989,3569,0,0,28913,3926,0,0,0,71960
CIV,COTE D'IVOIRE,1986,Western Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,1947.0,0.0,10.3,0.0,22.5,10.8,Converted estimates,Sahn DE.,"Malnutrition in Côte d'Ivoire, prevalence and determinants. Working paper No. 4. Washington D.C.: The World Bank, 1990 (and additional analysis).",1959655,0.0,440922,201844,0,0,0,211642,0,0,0,1587319
CIV,COTE D'IVOIRE,1994,Western Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,3486.0,2.2,8.3,2.5,34.2,20.3,Age-adjusted;,"Sombo N'Cho, Kouassi L, Kouamé Koffi A, Schoemaker J, Barrère M, Barrère B et al.","Enquête demographique et de santé, Côte d'Ivoire 1994. Demographic and Health Surveys. Abidjan, Côte d'Ivoire, 1995 (and additional analysis).",2454408,6.1000000000000005,839407,203715,53996,149718,61360,498244,730565,935737,1666302,3021865
CIV,COTE D'IVOIRE,1998,Western Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,1772.0,1.9,6.9,4.6,31.5,18.2,0,Institut National de la Statistique [Côte d'Ivoire] et ORC Macro.,"Enquête démographique et de santé, Côte d'Ivoire 1998-99. Demographic and Health Surveys. Calverton, Maryland, USA: Institut National de la Statistique et ORC Macro, 2001 (and additional analysis).",2757550,5.0,868628,190270,52393,137877,126847,501874,708877,861731,1570608,3127060
CIV,COTE D'IVOIRE,2006,Western Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,8556.0,2.9,8.4,8.4,40.1,16.7,0,Institut National de la Statistique (INS) [Côte d'Ivoire].,"Enquête à indicateurs multiples, Côte d'Ivoire 2006, Rapport final, Abidjan, Côte d'Ivoire : INS, 2007 (and additional analysis).",3146299,5.5,1261665,264289,91242,173046,264289,525431,1234504,1081537,2316041,4541994
CIV,COTE D'IVOIRE,2007,Western Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,854.0,5.4,14.0,4.9,39.0,29.4,0,"Tschannen AB, Rohner F, Gohou V, Bosso E, Malan A.","Evaluation des carences en vitamine A et fer en Côte d'Ivoire (Rapport final). Ministère de la Santé et de l'Hygiène Publique et Helen Keller Int., Abidjan, Côte d'Ivoire, 2009 (and additional analysis).",3188212,8.6,1243402,446349,172163,274186,156222,937334,2329365,1713662,4043027,4476247
CIV,COTE D'IVOIRE,2012,Western Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,3744.0,1.8,7.6,3.2,29.6,15.7,0,Institut National de la Statistique (INS) et ICF International.,"Enquête démographique et de santé et à indicateurs multiples de Côte d'Ivoire 2011-2012. Demographic and Health Surveys and MICS. Calverton, Maryland, USA : INS et ICF International, 2012 (and additional analysis).",3511797,5.8,1039491,266896,63212,203684,112377,551352,855258,1273025,2128283,3742167
CUB,CUBA,2000,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,1571.0,0.0,2.4,0.0,7.0,3.4,Converted estimates,"UNICEF, Instituto de Nutrición e Higiene de los Alimentos","Encuesta de agrupacion de indicadores multiples: Informe final, diciembre del 2000 (MICS2). La Habana, Cuba, 2000 (and additional analysis).",753523,0.0,52746,18084,0,0,0,25619,0,0,0,189885
CZE,CZECH REPUBLIC (THE),1991,Eastern Europe,Europe,Northern America and Europe,Western Europe,EURO,High Income,Europe & Central Asia,32345.0,0.0,2.8,6.7,3.1,0.9,Converted estimates,"Lhotska L, Blaha P, Vignerova J, Roth Z, Prokopec M.","Vth. Nation-wide anthropological survey of children and adolescents 1991 (Czech Republic). Prague: National Institute of Public Health, 1993 (and additional analysis).",669528,0.0,20755,18746,0,0,44858,6025,0,0,0,74718
CZE,CZECH REPUBLIC (THE),2001,Eastern Europe,Europe,Northern America and Europe,Western Europe,EURO,High Income,Europe & Central Asia,16932.0,1.0,4.6,4.4,2.6,2.1,0,"Vignerova J, Riedlova J, Blaha P, Kobzova J, Krejcovsky L, Brabec M, Hruskova M.","6th nationwide anthropological survey of children and adolescents 2001, Czech Republic. Summary results. Prague, Czech Republic: National Institute of Public Health, 2006 (and additional analysis).",417626,3.5999999999999996,10858,19210,4176,15034,18375,8770,56501,93962,150463,39088
PRK,DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),1998,Eastern Asia,Asia,Eastern Asia and South-eastern Asia,East Asia and Pacific,SEARO,Low Income,East Asia & Pacific,1263.0,0.0,20.8,0.0,63.9,55.5,Converted estimates; subtotals,"Government to DPRK,EU, UNICEF and WFP","Nutrition survey of the Democratic People's Republic of Korea. Report by the EU, UNICEF and WFP of a study undertaken in collaboration with the Government to DPRK (Internet, 7 January 1999 at http://www.wfp.org/OP/Countries/dprk/nutrion_survey.html).",2064233,0.0,1319044,429360,0,0,0,1145649,0,0,0,4748558
PRK,DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),2000,Eastern Asia,Asia,Eastern Asia and South-eastern Asia,East Asia and Pacific,SEARO,Low Income,East Asia & Pacific,4175.0,0.0,12.2,0.0,51.0,24.7,Converted estimates,Central Bureau of Statistics [DPRK].,"Report of the second multiple indicator cluster survey 2000, DPRK (MICS). Pyongyang, Democratic People's Republic of Korea, 2000.",1987652,0.0,1013702,242493,0,0,0,490950,0,0,0,3649327
PRK,DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),2002,Eastern Asia,Asia,Eastern Asia and South-eastern Asia,East Asia and Pacific,SEARO,Low Income,East Asia & Pacific,5297.0,3.5,8.7,0.9,44.7,17.8,0,Central Bureau of Statistics (D.P.R. Korea).,"Nutrition assessment 2002 D.P.R. Korea. Pyongyang: Government of D.P.R. Korea, United Nations Children's Fund and World Food Programme, 2003 (and additional analysis).",1931561,5.199999999999999,863407,168045,67604,100441,17384,343817,914682,627756,1542438,3108265
PRK,DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),2004,Eastern Asia,Asia,Eastern Asia and South-eastern Asia,East Asia and Pacific,SEARO,Low Income,East Asia & Pacific,4795.0,0.0,8.5,0.0,43.1,20.6,Converted estimates,"Central Bureau of Statistics, Institute of Child Nutrition.","DPRK 2004 nutrition assessment, report of survey results. Democratic People's Republic of Korea: Central Bureau of Statistics, 2005.",1924503,0.0,829460,163582,0,0,0,396447,0,0,0,2986056
PRK,DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),2009,Eastern Asia,Asia,Eastern Asia and South-eastern Asia,East Asia and Pacific,SEARO,Low Income,East Asia & Pacific,2172.0,0.5,5.2,0.0,32.4,18.8,0,"Central Bureau of Statistics (CBS), Institute of Children's Nutrition, UNICEF.","The Democratic People's Republic of Korea (DPR Korea) multiple indicator cluster survey 2009 (MICS4). Final Report. Pyongyang, DPR Korea: CBS and UNICEF, 2010.",1773511,4.7,574617,92222,8867,83355,0,333420,119970,520968,640938,2068621
PRK,DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),2012,Eastern Asia,Asia,Eastern Asia and South-eastern Asia,East Asia and Pacific,SEARO,Low Income,East Asia & Pacific,8036.0,0.6,4.0,0.0,27.9,15.2,0,Central Bureau of Statistics [Democratic People's Republic of Korea].,"Final report of the national nutrition survey 2012, September 17th to October 17th 2012. Pyongyang, Democratic People's Republic of Korea, 2013.",1696640,3.4,473362,67865,10179,57685,0,257889,137721,360531,498252,1704103
COD,DEMOCRATIC REP. OF THE CONGO (THE),1995,Middle Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Low Income,Sub-Saharan Africa,4362.0,0.0,11.4,0.0,51.0,30.7,Converted estimates,Ministère du Plan et Reconstruction Nationale.,"Enquête nationale sur la situation des enfants et des femmes au Zaire en 1995. Kinshasa, Zaire, 1996 (and additional analysis).",7692581,0.0,3923216,876954,0,0,0,2361622,0,0,0,14123577
COD,DEMOCRATIC REP. OF THE CONGO (THE),2001,Middle Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Low Income,Sub-Saharan Africa,9172.0,11.9,20.9,6.5,44.4,33.6,0,"République Démocratique du Congo, UNICEF, USAID.","Enquête nationale sur la situation des enfants et des femmes MICS2 / 2001. Rapport d'analyse. Kinshasa, République Démocratique du Congo, juillet 2002 (and additional analysis).",8927312,8.999999999999998,3963726,1865808,1062350,803458,580275,2999576,14373595,5021612,19395207,14269413
COD,DEMOCRATIC REP. OF THE CONGO (THE),2007,Middle Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Low Income,Sub-Saharan Africa,4240.0,8.8,14.0,6.8,45.8,28.2,0,Ministère du Plan et Macro International.,"Enquête démographique et de santé, République Démocratique du Congo 2007. Demographic and Health Surveys. Calverton, Maryland, U.S.A.: Ministère du Plan et Macro International, 2008 (and additional analysis).",10986314,5.199999999999999,5031731,1538083,966795,571288,747069,3098140,13080736,3570550,16651286,18114231
COD,DEMOCRATIC REP. OF THE CONGO (THE),2010,Middle Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Low Income,Sub-Saharan Africa,10905.0,2.8,8.5,4.9,43.5,24.2,0,Institut National de la Statistique et Fonds des Nations Unies pour l'Enfance.,"Enquête par grappes à indicateurs multiples en République Démocratique du Congo (MICS-RDC 2010). Rapport final, mai 2011. Kinshasa, République Démocratique du Congo, 2011 (and additional analysis).",12126623,5.7,5275081,1030762,339545,691217,594204,2934642,4594043,4320106,8914149,18990291
COD,DEMOCRATIC REP. OF THE CONGO (THE),2013,Middle Africa,Africa,Sub-Saharan Africa,West and Central Africa,AFRO,Low Income,Sub-Saharan Africa,9395.0,2.8,8.1,4.4,42.6,23.4,0,"Ministère du Plan et Suivi de la Mise en oeuvre de la Révolution de la Modernité (MPSMRM), Ministère de la Santé Publique (MSP) et ICF International.","Enquête démographique et de santé en République Démocratique du Congo 2013-2014. Demographic and Health Surveys. Rockville, Maryland, USA : MPSMRM, MSP et ICF International, 2014 (and additional analysis).",13347830,5.3,5686175,1081174,373739,707434,587304,3123392,5056688,4421462,9478150,20470230
DJI,DJIBOUTI,1989,Eastern Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,EMRO,Lower Middle Income,Middle East & North Africa,3750.0,0.0,12.5,0.0,28.0,20.2,Converted estimates,Ministere de la Sante Publique et des Affaires Sociales.,"Enquete couverture vaccinale malnutrition. Republique de Djibouti, Djibouti: Ministere de la Sante Publique et des Affaires Sociales,1990 (and additional analysis).",103074,0.0,28860,12884,0,0,0,20820,0,0,0,103896
DJI,DJIBOUTI,1996,Eastern Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,EMRO,Lower Middle Income,Middle East & North Africa,0,0.0,14.9,0.0,31.7,16.0,Converted estimates,"Ministère du Commerce et du Tourisme, Direction Nationale de la Statistique. Djibouti ville, République de Djibouti","Enquête djiboutienne auprès des ménages indicateurs sociaux (EDAM-IS 1996). Ministère du Commerce et du Tourisme, Direction Nationale de la Statistique. Djibouti ville, République de Djibouti, 1997 (and additional analysis).",96752,0.0,30670,14416,0,0,0,15480,0,0,0,110412
DJI,DJIBOUTI,2002,Eastern Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,EMRO,Lower Middle Income,Middle East & North Africa,2289.0,9.5,19.4,8.4,26.5,25.4,0,"Department of Statistics and Demographic Studies, Ministry of Health and Pan Arab Project for Family Health.","Enquête djiboutienne sur la santé de la famille (EDSF/PAPFAM) 2002, PAPFAM Rapport final. Djibouti, 2004 (and additional analysis).",105119,9.899999999999999,27856,20393,9986,10406,8829,26700,135110,65037,200147,100281
DJI,DJIBOUTI,2006,Eastern Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,EMRO,Lower Middle Income,Middle East & North Africa,2172.0,15.9,26.0,13.4,32.6,29.6,0,Ministère de la Santé et PAPFAM.,"Enquête djiboutienne à indicateurs multiples (EDIM): Rapport final. MICS. Djibouti: Ministère de la Santé et PAPFAM, 2007 (and additional analysis).",102431,10.1,33392,26632,16286,10345,13725,30319,220349,64656,285005,120211
DJI,DJIBOUTI,2012,Eastern Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,EMRO,Lower Middle Income,Middle East & North Africa,3205.0,9.1,21.5,8.1,33.5,29.8,0,Ministère de la Santé et PAPFAM.,"Enquête djiboutienne à indicateurs multiples (EDIM): Rapport preliminaire. Djibouti: Ministère de la Santé et PAPFAM, 2013 (and additional analysis).",99067,12.4,33187,21299,9015,12284,8024,29521,121972,76775,198747,119473
DOM,DOMINICAN REPUBLIC (THE),1986,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,1794.0,1.0,3.3,3.8,20.4,8.7,Age-adjusted;,Consejo Nacional de Población y Familia/República Dominicana and Institute for Resource Development/Westinghouse,"Encuesta demografica y de salud, 1986. Demographic and Health Surveys. Consejo Nacional de Poblacion y Familia. Santo Domingo, Republica Dominicana, 1987 (and additional analysis).",961232,2.3,196091,31720,9612,22108,36526,83627,130050,138175,268225,705927
DOM,DOMINICAN REPUBLIC (THE),1991,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,2991.0,0.6,2.2,4.4,21.2,8.4,0,"Instituto de Estudios de Población y Desarrollo - IEPD/República Dominicana, Oficina Nacional de Planificación","Encuesta demografica y de salud 1991. Demographic and Health Surveys. Santo Domingo, Republica Dominicana, 1992 (and additional analysis).",993170,1.6,210552,21849,5959,15890,43699,83426,80625,99312,179937,757987
DOM,DOMINICAN REPUBLIC (THE),1996,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,3567.0,0.6,2.0,6.9,13.9,4.7,0,Centro de Estudios Sociales y Demográficos - CESDEM/República Dominicana and Macro International.,"Encuesta demografica y de salud 1996 (DHS). Centro de Estudios Sociales y Demograficos, Asociacion Dominicana Pro Bienestar de la Familia, Oficina Nacional de Planificacion. Santo Domingo, Republica Dominicana, 1997 (and additional analysis).",1032126,1.4,143465,20642,6192,14449,71216,48509,83777,90306,174083,516474
DOM,DOMINICAN REPUBLIC (THE),2000,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,1907.0,0.5,1.5,6.9,8.0,3.5,0,"Molina Achecar M, José Polanco J.","Encuesta por conglomerados de indicadores multiples (MICS-2000). Santo Domingo, D.N.: Secretariado Técnico de la Presidencia, Fondo de las Naciones Unidas para la Infancia (UNICEF), 2001 (and additional analysis).",1019829,1.0,81586,15297,5099,10198,70368,35694,68989,63737,132726,293709
DOM,DOMINICAN REPUBLIC (THE),2002,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,10625.0,0.8,2.2,8.6,11.7,4.2,0,"Molina Achécar M, Ramirez N, José Polanco J, Ochoa LH, Lerebours G, Garcia B.","Encuesta demografica y de salud, ENDESA 2002. Demographic and Health Surveys. Santo Domingo, Republica Dominicana: Centro de Estudios Sociales y Demograficos, 2003 (and additional analysis).",1022131,1.4000000000000001,119589,22486,8177,14309,87903,42929,110634,89431,200065,430520
DOM,DOMINICAN REPUBLIC (THE),2006,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,3782.0,0.0,1.9,7.4,10.5,4.6,Converted estimates,Oficina Nacional de Estadistica (ONE).,"Encuesta nacional de hogares de proposito multiples (ENHOGAR 2006): Informe general. Santo Domingo, Republica Dominicana: ONE, 2008 (and additional analysis).",1065649,0.0,111893,20247,0,0,78858,49019,0,0,0,402814
DOM,DOMINICAN REPUBLIC (THE),2007,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,10923.0,0.9,2.3,8.3,10.1,3.4,0,Centro de Estudios Sociales y Demográficos (CESDEM) y Macro International Inc.,"Encuesta demográfica y de salud 2007. Demographic and Health Surveys. Santo Domingo, República Dominicana: CESDEM y Macro International Inc., 2008 (and additional analysis).",1070143,1.4,108084,24613,9631,14982,88821,36384,130307,93637,223944,389102
DOM,DOMINICAN REPUBLIC (THE),2013,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,3691.0,0.8,2.4,7.6,7.1,4.0,0,Centro de Estudios Sociales y Demográficos (CESDEM) y ICF International.,"Encuesta demográfica y de salud 2013. Demographic and Health Surveys. Santo Domingo, República Dominicana: CESDEM y ICF International, 2014 (and additional analysis).",1063447,1.5999999999999999,75504,25522,8507,17015,80821,42537,115099,106343,221442,271814
